date,sunshine_hr,humidity_mean,temp_min,temp_mean,temp_max,temp_range
2007-09-07,10.957763888888888,27.791666666666668,29.2,34.74166666666667,39.9,10.7
2007-09-08,11.697316666666666,26.5,27.1,35.47083333333333,42.2,15.1
2007-09-09,11.677708333333332,14.916666666666666,26.7,35.954166666666666,43.1,16.400000000000002
2007-09-10,11.658030555555555,19.625,28.9,35.5625,41.0,12.1
2007-09-11,11.367019444444445,24.916666666666668,28.4,34.416666666666664,39.5,11.1
2007-09-12,11.399344444444443,21.333333333333332,27.6,35.020833333333336,40.7,13.1
2007-09-13,11.59871388888889,15.708333333333334,27.0,34.575,40.8,13.799999999999995
2007-09-14,11.57888611111111,12.583333333333334,26.2,34.166666666666664,40.5,14.3
2007-09-15,11.55905,20.791666666666668,23.6,32.725,39.9,16.299999999999997
2007-09-16,11.539216666666666,16.125,24.3,32.42916666666667,38.9,14.599999999999998
2007-09-17,11.519402777777778,12.916666666666666,25.0,32.84166666666667,39.2,14.200000000000005
2007-09-18,11.49961388888889,14.083333333333334,22.7,32.516666666666666,39.8,17.099999999999998
2007-09-19,11.479788888888889,13.958333333333334,23.1,32.62083333333333,39.8,16.699999999999996
2007-09-20,11.459805555555556,13.0,23.6,31.8125,38.3,14.699999999999996
2007-09-21,11.439694444444443,11.708333333333334,21.7,31.084895833333345,38.4,16.7
2007-09-22,11.419466666666668,10.583333333333334,24.0,31.833333333333332,39.0,15.0
2007-09-23,11.392472222222224,11.291666666666666,22.0,31.2875,38.7,16.700000000000003
2007-09-24,11.320855555555555,11.791666666666666,22.1,32.012499999999996,39.5,17.4
2007-09-25,10.006733333333331,14.625,23.1,32.88333333333333,39.7,16.6
2007-09-26,11.213186111111112,13.458333333333334,24.9,33.800000000000004,39.8,14.9
2007-09-27,10.83394722222222,11.375,26.4,34.229166666666664,40.2,13.800000000000004
2007-09-28,10.379794444444444,10.416666666666666,26.5,34.479166666666664,41.2,14.700000000000005
2007-09-29,11.13255,10.708333333333334,24.6,33.666666666666664,41.5,16.9
2007-09-30,11.097369444444444,12.0,22.0,32.295833333333334,40.5,18.5
2007-10-01,11.063091666666669,10.25,24.1,32.24166666666667,39.3,15.199999999999996
2007-10-02,11.029752777777778,12.125,22.1,31.15833333333333,38.6,16.5
2007-10-03,10.997388888888889,13.125,20.6,30.808333333333337,38.9,18.299999999999997
2007-10-04,10.9413,13.208333333333334,21.0,31.2375,39.2,18.200000000000003
2007-10-05,10.935719444444445,13.208333333333334,20.6,31.8375,40.4,19.799999999999997
2007-10-06,10.906480555555556,13.666666666666666,20.6,31.34583333333333,38.7,18.1
2007-10-07,10.900838888888888,15.083333333333334,20.5,30.104166666666668,37.7,17.200000000000003
2007-10-08,10.873069444444443,13.291666666666666,20.1,30.070833333333336,37.5,17.4
2007-10-09,10.867388888888888,12.458333333333334,18.7,30.045833333333334,37.5,18.8
2007-10-10,10.841244444444444,10.375,20.5,29.879166666666663,37.6,17.1
2007-10-11,10.79768611111111,11.958333333333334,19.8,29.316666666666663,37.3,17.499999999999996
2007-10-12,10.811419444444445,9.5,21.5,29.90416666666667,37.1,15.6
2007-10-13,10.788586111111112,11.416666666666666,21.4,30.233333333333334,37.6,16.200000000000003
2007-10-14,10.779094444444445,13.875,19.9,29.65833333333333,37.5,17.6
2007-10-15,10.772677777777778,14.958333333333334,20.4,30.025,37.5,17.1
2007-10-16,10.766144444444445,14.0,21.0,30.6,38.5,17.5
2007-10-17,10.75948888888889,14.25,21.1,30.516666666666666,38.8,17.699999999999996
2007-10-18,10.729016666666666,14.541666666666666,22.8,30.45,38.0,15.2
2007-10-19,10.745788888888889,18.166666666666668,19.9,29.079166666666666,37.0,17.1
2007-10-20,10.73873611111111,19.125,19.9,28.795833333333334,36.0,16.1
2007-10-21,10.731544444444443,19.416666666666668,21.1,28.90833333333333,35.6,14.5
2007-10-22,10.724208333333332,20.916666666666668,21.9,28.637500000000003,34.7,12.800000000000004
2007-10-23,10.716725,18.833333333333332,19.7,26.691666666666663,32.8,13.099999999999998
2007-10-24,10.70908611111111,14.041666666666666,16.1,23.666666666666668,30.5,14.4
2007-10-25,10.70129722222222,15.416666666666666,14.0,24.208333333333332,32.8,18.799999999999997
2007-10-26,10.693347222222224,20.125,17.8,26.725,34.3,16.499999999999996
